,loss
step_0,0.43710964918136597
step_1,0.35649096965789795
step_2,0.3401756286621094
step_3,0.26701122522354126
step_4,0.2314421534538269
step_5,0.18646904826164246
step_6,0.1366274356842041
step_7,0.10640808939933777
step_8,0.10045857727527618
step_9,0.07833322137594223
step_10,0.1293841153383255
step_11,0.12388058751821518
step_12,0.08925136178731918
step_13,0.07255664467811584
step_14,0.06309401243925095
step_15,0.053749632090330124
step_16,0.06287061423063278
step_17,0.06595834344625473
step_18,0.05949803814291954
step_19,0.053261250257492065
step_20,0.04785441607236862
step_21,0.046477820724248886
step_22,0.04495220631361008
step_23,0.04284457862377167
step_24,0.045087289065122604
step_25,0.057279929518699646
step_26,0.06919364631175995
step_27,0.0636562928557396
step_28,0.05560707300901413
step_29,0.05931233614683151
step_30,0.0518067441880703
step_31,0.04564373940229416
step_32,0.045718662440776825
step_33,0.046855755150318146
step_34,0.04587274417281151
step_35,0.04155993461608887
step_36,0.040251635015010834
step_37,0.04523610323667526
step_38,0.04690621420741081
step_39,0.04811377450823784
step_40,0.046885788440704346
step_41,0.0434039942920208
step_42,0.04173153266310692
step_43,0.038760870695114136
step_44,0.03941470384597778
step_45,0.040700819343328476
step_46,0.049599647521972656
step_47,0.04269365593791008
step_48,0.038120683282613754
step_49,0.03683928772807121
step_50,0.03525277227163315
step_51,0.035666923969984055
step_52,0.03708818554878235
step_53,0.04269368574023247
step_54,0.05352375656366348
step_55,0.08270525932312012
step_56,0.07822960615158081
step_57,0.05968207120895386
step_58,0.12433300912380219
step_59,0.15763519704341888
step_60,0.17578688263893127
step_61,0.13961508870124817
step_62,0.10084565728902817
step_63,0.08539675921201706
step_64,0.06907179206609726
step_65,0.0686769038438797
step_66,0.07375162839889526
step_67,0.05715281888842583
step_68,0.05313786864280701
step_69,0.04933200776576996
step_70,0.04637047275900841
step_71,0.04463795945048332
step_72,0.04479166865348816
step_73,0.049219220876693726
step_74,0.04799788445234299
step_75,0.04830767959356308
step_76,0.04201243445277214
step_77,0.04843436926603317
step_78,0.05756334587931633
step_79,0.0462847463786602
step_80,0.0403469055891037
step_81,0.04017789289355278
step_82,0.045727234333753586
step_83,0.05358341336250305
step_84,0.0392661914229393
step_85,0.04128849878907204
step_86,0.04146862030029297
step_87,0.039414919912815094
step_88,0.03848600015044212
step_89,0.04133644700050354
step_90,0.04495861381292343
step_91,0.06114751845598221
step_92,0.0428423136472702
step_93,0.04014134034514427
step_94,0.03703240305185318
step_95,0.036593951284885406
step_96,0.04543617367744446
step_97,0.04995591565966606
step_98,0.05172451585531235
step_99,0.038610830903053284
step_100,0.03895849734544754
step_101,0.0393281988799572
step_102,0.03995801880955696
step_103,0.03632805868983269
step_104,0.03505823016166687
step_105,0.036666274070739746
step_106,0.0473669096827507
step_107,0.03722601756453514
step_108,0.03485693037509918
step_109,0.034072212874889374
step_110,0.033373307436704636
step_111,0.03801365941762924
step_112,0.0417751781642437
step_113,0.05525660514831543
step_114,0.049596913158893585
step_115,0.042502254247665405
step_116,0.0377112478017807
step_117,0.03509960323572159
step_118,0.03348580375313759
step_119,0.036043066531419754
